project,job_no,address,permit,contractor,phone,manager
SPU Crawford Hall,18-0186,"3224 3rd Avenue West, Seattle",,,,Walter
SPU DWW South Operations Center,18-0365,"4500 West Marginal Way SW, Seattle",6578729,,,Isaac
SPU Haller Lake Hygiene Facility,18-0057,"12600 Stone Avenue North, Seattle",6581254,"Regency NW Construction, I",,Walter
SR 99 Bored Tunnel Design Build [South Por,11-0593,"Alaskan Way, Seattle",,Seattle Tunnel Partners,(206) 228-6269,Jeff
St. Mary-On-The-Lake Main Hall Remodel,18-0090,"1663 Killarney Way, Bellevue",17-120466BZ,Andersen Construction Co.,(206) 595-9531,Walter
Starbucks - 12th & Columbia,17-0778,"800 12th Avenue, Seattle",6514918,,(206) 321-3409,Isaac
Starbucks Kiosk Remodel,18-0128,"12519 NE 85th Street, Kirkland",BNR17-08003,Tricon Enterprises,253-331-0398,Jeff
Station 38,17-0108,"30020 Swede Heaven Rd, Arlington",15108422CBP,"Building Resources, Inc.",(206) 852-0082,Jeff
Stead,17-0530,"17905 300th Avenue NE, Duvall",DWEL17-0001,Safeguard Construction,(425) 766-2712,Isaac
Stewart Garage,16-0489,"8218 Avalon Drive, Mercer Island",1604-016,"Kinetic Construction, Inc.",206-953-8416,Anthony
Stewart House,16-0489a,"8218 Avalon Drive, Mercer Island",1503-061,"Kinetic Construction, Inc.",(206) 953-8416,Anthony
Storey Residence,18-0120,"10917 Linden Ave N, Seattle",,,,Scott
Strohm-Hurley Residence,17-0942,"1102 NW 64th Street, Seattle",6587948,Harjo Construction,(206) 715-4464,Isaac
Summit Public Schools - Atlas (Phase 2),17-0724,"9601 35th Ave. SW, Seattle",6564210,"Kirtley-Cole Associates, LLC",,Walter
Summit Public Schools - Atlas Detention Vau,17-0724a,"9601 35th Avenue SW, Seattle",6622814,"Kirtley-Cole Associates, LLC",(425) 231-8711,Walter
Sunlight Café,18-0245,"6404 9th Ave. NE, Seattle",6599270,"Build Love Global, LLC",(206) 255-9554,Jeff
Sunrise Dental,18-0064,"1453 NW 54th Street, Seattle",6320623,,(206) 619-4371,Walter
Sunrise of Bothell,16-0459,"10605 NE 185th Street, Bothell",BMF2015-11790,Blackrock Construction Gro,(253) 888-2085,Walter
Sunrise of Lynnwood,17-0585,"21500 72nd Avenue West, Edmonds",BLD2015-1512,,253-691-3224,Walter
Sunset Court Apartments - Bike Shelter,17-0772g,"1140 Harrington Avenue NE, Renton",B16006738,Walsh Construction Compa,(206) 551-6594,Jeff
Sunset Court Apartments - Building 1,17-0772a,"1140 Harrington Avenue NE, Renton",B16006421,Walsh Construction Compa,(206) 551-6594,Jeff
Sunset Court Apartments - Building 2,17-0772b,"1130 Harrington Avenue NE, Renton",B16006420,Walsh Construction Compa,(206) 551-6594,Jeff
Sunset Court Apartments - Building 3,17-0772c,"1124 Harrington Avenue NE, Renton",B16006419,Walsh Construction Compa,(206) 551-6594,Jeff
Sunset Court Apartments - Building 4,17-0772d,"1158 Harrington Avenue NE, Renton",B16006418,Walsh Construction Compa,(206) 551-6594,Jeff
Sunset Court Apartments - North Trash Encl,17-0772g,"1158 Harrington Avenue NE, Renton",B16006734,Walsh Construction Compa,,Jeff
Sunset Court Apartments - Sitework,17-0772e,"1140 Harrington Avenue NE, Renton",16006459,Walsh Construction Compa,(206) 551-6594,Jeff
Sunset Court Apartments - South Trash Encl,17-0772f,"1158 Harrington Avenue NE, Renton",B16006733,Walsh Construction Compa,(206) 551-6594,Jeff
Sunset Neighborhood Park Phase 1,17-0739,"2680 Sunset Lane NE, Renton",,Road Construction Northwe,(425) 777-7325,Jeff
Sunset Shell,18-0307,"2800 NE Sunset Blvd, Renton",B17001464,"Avalon Management, Inc.",(206) 310-5127,Isaac
Super Bueno,17-0977,"3627 Stone Way North, Seattle",6575701,Dovetail General Contractor,(206) 354-0198,Isaac
Swale on Yale,18-0394,"1255 Harrison Street, Seattle",270947,"Exxel Pacific, Inc.",,Jeff
Tabor Dam,16-0881,", Ignatius, MT",,Condon-Johnson & Associat,206-707-3876,Jeff
Taco Time - Ferndale,18-0134,"5623 Riverside Drive, Ferndale",16011-COMM-NE,"L.D. Sanders Construction,",(360) 239-2308,Jeff
Talus - HBI860141-02,17-0780,"161 Shangri-La Way, Issaquah",,,,Jeff
Taylor Farms NW - North Cooler Expansion,18-0164,"8030 S 288th Street, Kent",CNST-2173171,"JEM Contractors, Inc. - *OL",(206) 239-8154,Isaac
Teck Resources - Ultrablock,18-0414,"1615 S. Graham Street, Seattle",N/A,,,Anthony
Tejani Residence,18-0420,"9805 111th Avenue NE, Kirkland",BSF17-02090,"US Builders Team, LLC",(425) 598-1001,Isaac
Terminal 7 Wharf Rehabilitation,18-0267,"3480 W Marginal Way SW, Seattle",6560619,"Pacific Pile & Marine, LP",(206) 331-3873,Isaac
Terminal 91 Fender Replacement Project,18-0206,"2003 West Garfield Street, Seattle",n/a,,(206) 403-8729,Isaac
"The ""AVE"" Apartments",18-0126,"5637 University Way NE, Seattle",6579435,"TC Consulting, Inc.",(206) 498-3917,Walter
The Bond Apartments,17-0747b,"6000-6044 E. Lki Sammamish Pkwy NE, Redm",Bldg-2017-06098,GenCap Construction Corp.,425-628-1908,Jeff
The Grove - Lot 3,17-0698,"4857 90th Avenue SE, Mercer Island",1607-271,"Milestone Northwest, LLC",(425) 503-9302,Jeff
The Grove - Lot 4,17-0953,"4865 90th Avenue SE, Mercer Island",1611-113,"Milestone Northwest, LLC",(425) 422-5358,Jeff
The Hailey Apartments,17-0860,"1210 Tacoma Avenue South, Tacoma",BLDCN17-0092,Rush Commercial Construct,,Jeff
The Junction - Auburn Mechanical,16-0386a,"18505 Bothell Way NE, Bothell",BMU2015-11802,GenCap Construction Corp.,,Jeff
The Landing at Bothell Landing - All Building,17-0888,"9614 NE 183rd Street, Bothell",,GenCap Construction Corp.,(425) 495-5936,Jeff
The Landing at Bothell Landing - Bldg C2,17-0888e,"18314 96th Avneue NE, Bothell",BMF2018-18972,GenCap Construction Corp.,(425) 495-5936,Jeff
The Landing at Bothell Landing - Bldg. A1 &,17-0888a,"9614 NE 183rd Street, Bothell",BMF2017-16659,GenCap Construction Corp.,(425) 495-5936,Jeff
The Landing at Bothell Landing - Bldg. C1,17-0888c,"18308 96th Avenue NE, Bothell",BMF2017-17346,GenCap Construction Corp.,(425) 495-5936,Jeff
The Landing at Bothell Landing - Bldg. F1,17-0888d,"18314 96th Ave NE, Bothell",BMF2017-17906,GenCap Construction Corp.,(425) 495-5936,Jeff
The Landing at Bothell Landing - Bldg. F2,17-0888b,"18308 96th Avenue NE, Bothell",BMF2017-18082,GenCap Construction Corp.,(425) 495-5936,Jeff
The Merritt Plat,18-0174,"2505 Lyons Avenue NE, Renton",,C.L. Green,,Anthony
The Nest at Beach Drive,17-0685,"5616 Beach Drive SW, Seattle",6547293,"White's Investments, LLC",(206) 979-7920,Isaac
The Pinnacle @ Alki,17-0406,"1118 Alki Avenue SW, Seattle",6510595,"Crestline Builders, LLC",(206) 834-5408,Isaac
The Pop - Lot P North,18-0198,"18308 96th Ave NE, Bothell",BNR2017-17902,GenCap Construction Corp.,,Jeff
The Sky Apartments,17-0267,"22256 SE 4th Street, Sammamish",COM2016-03874,GenCap Construction Corp.,(425) 324-1429,Jeff
Thompson Residence (Mercer Island),18-0156,"5022 Butterworth Road, Mercer Island",1703-148,"March-MacDonald, Inc.",(206) 793-1048,Walter
Thundering Mountain Shop Addition,17-0642,"1920 Garrett Street, Enumclaw",BLD2017-0186,"Marvel Management, LLC",,Walter
Tiny Dancer,17-0957,"3855 21st Avenue SW, Seattle",6550850,"Forrister Contracting, LLC",360-770-4000,Isaac
TK1,17-0428,"12215 50th Avenue South, Tukwila",D16-0179,"Stillwater Consulting, LLC",(206) 679-5173,Jeff
T-Mobile Bellevue Lab Phase 1 Expansion,18-0014,"1759 135th Place NE, Bellevue",17-117453 BM,Turner Construction Co.,(206) 255-1391,Isaac
T-Mobile Bellevue Tech Innovation Center -,18-0360,"1759 135th Place NE, Bellevue",,"Swinerton Builders, Inc.",(206) 492-4542,Isaac
Toggenburger Residence,18-0094,"4820 55th Avenue South, Seattle",6555796,Sutherland Contracting Servi,(206) 293-4131,Isaac
Totem Lake Retail Center - SIR,18-0161,"12525 Totem Lake Blvd., Kirkland",,,,Jeff
Tova Emry Project,17-0991,"17911 218th Avenue NE, Woodinville, Woodinv",ADDC17-0179,,(360) 280-1699,Jeff
Track 66,18-0041,"838 NE 66th Street, Seattle",6549334,"Blueprint Capital Services, L",(206) 902-7055,Isaac
TRM Enumclaw,18-0309,"2032 Garrett Avenue, Enumclaw",BLD2017-0345,"Tenant Contractors, Inc.",(253) 266-6221,Jeff
T-Square,18-0403,"15455 10th Avenue SW, Burien",BLD-17-1693,Kustom US,(425) 471-6789,Isaac
Tukwila Awning,18-0085,"12404 42nd Avenue South, Tukwila",D17-0302,"Rainier Industries, Ltd.",,Isaac
Tukwila Village - Building D,16-0502,"14400 Tukwila International Blvd, Tukwila",D14-0326,InterCity Contractors,(206) 459-1101,Walter
Tukwila Village - Building E,16-0573,"4450 South 144th Street, Tukwila",D16-0389,InterCity Contractors,(206) 459-1101,Walter
Tukwila Village - Shag T.I. (Building D),18-0302,"14400 Tukwila International Blvd, Tukwila",D17-0285,InterCity Contractors,(206) 459-1101,Walter
Tule Bene Restaurant,18-0114,"10200 Quilceda Blvd., Tulalip - Marysville",BP 2017-062,Tulalip Casino,(425) 754-5456,Isaac
Tulsyan Residence,17-0071,"2136 N 87th Street, Seattle",6479227,"AD Design & Construction, I",(206) 883-3803,Isaac
Tumi Storage Racks,18-0372,"225 Bellevue Square Way #225, Bellevue",17 131133 BZ,,(224) 489-6847,Isaac
Twin Firs Residence,17-0933,"8835 Overlake Drive West, Medina",B17-008,Roberts Group Custom Buil,(425) 533-3980,Isaac
Two Pine,18-0384,"1601 2nd Ave, Seattle",6615982,"Rafn Company, Inc.",,Walter
UBS Financial Services T.I.,18-0423,"925 4th Avenue, Seattle",6639936,"BN Builders, Inc.",(206) 718-0947,Walter
Union Pacific Railroad Argo Yard Upgrades,17-0901,"4700 Denver Ave S, Seattle",6421152,,425-315-4799,Walter
Upton Flats,17-0017,"6058 35th Avenue SW, Seattle",6504660,"Upton Development, LLC",,Isaac
Uptown 30,18-0262,"30 6th Street, Kirkland",,"NW Investment Builders, LL",(206) 255-0782,Isaac
Uptown 34,18-0263,"34 6th Street, Kirkland",BSF17-05313,"NW Investment Builders, LL",(206) 255-0782,Isaac
Uptown 38,18-0266,"38 6th Street, Kirkland",BSF17-05312,"NW Investment Builders, LL",(206) 255-0782,Isaac
US Bank - Renton,18-0298,"2500 E Valley Road, Renton",B17003122,"Avara Construction, Inc.",(206) 419-1440,Jeff
USACE Sill Beams & Misc. Improvements,18-0232,"(Ballard Locks), Seattle",,WHH Nisqually Federal Serv,,Isaac
Utecht Residence,18-0255,"1949 8th Avenue West, Seattle",6574811,Dochnahl Construction,(206) 730-7346,Jeff
UW New Burke Museum (Construction Phas,16-0363,"4300 15th Avenue NE, Seattle",6432435,Skanska USA Commercial,206-473-9420,Anthony
UW North Campus Building B (Madrona Hall,17-0034,"4320 Whitman Lane NE, Seattle",6495139,WG Clark Construction Com,,Anthony
UW North Campus Building C (McCarty Hall),17-0010,"4318 Whitman CT NE, Seattle",6495140,WG Clark Construction Com,,Anthony
UW North Campus Building D (Willow Hall),16-0735,"4318 Whitman Ct E, Seattle",6467051,WG Clark Construction Com,,Anthony
UW North Campus RDH Testing (all building,18-0084,"Various, Seattle",n/a,WG Clark Construction Com,,Anthony
UW Ocean Sciences Building Elevator #257,17-0201,"1492 NE Boat Street, Seattle",6544911,,(206) 579-3753,Anthony
UW Population Health Facility - Shoring,18-0469,"4000 & 3980 15th Avenue NE, Seattle",6616847,"Lease Crutcher Lewis, Inc.",(206)730-2495,Anthony
UWMC Emergency Department Extension,18-0202,"1959 NE Pacific Street, Seattle",,Skanska USA Commercial,(206) 947-8094,Anthony
VA Puget Sound Upgrade Electrical Distributi,17-0199,"1660 S. Columbian Way, Seattle",663-15-102,"Helix Electric, Inc.",(858) 405-5026,Isaac
Valley Ridge Play Fields,18-0322,"4644 S 188th Street, SeaTac",STE18-0003,"Premier Field Development,",,Isaac
Vashon Addition,18-0333,"17606 Vashon Highway SW, Vashon",,"Metis Construction, Inc.",,Isaac
Vik Reddy,18-0299,"6643 58th Avenue NE, Seattle",6515143,"Terhune Homes, Inc.",(253) 405-9395,Isaac
Village at Totem Lake Phase II,18-0400,"12560-12632 120th Ave NE, Kirkland",BMU17-06261,"Fairfield Totem Lake, LLC",(678) 410-4182,Walter
Vista Lago - Site Work,18-0402,"6452 NE 181st Street, Kenmore",,Anderson Construction Grou,206-573-2305,Isaac
Wallingford Residence,18-0086,"17550 Wallingford Avenue North, Shoreline",,Belmont Homes NW,(425) 231-0823,Jeff
Warren Residence,18-0446,"22409 SE 20th Street, Sammamish",BLD2016-02256,"Brocksmith Custom Homes,",(425) 830-8254,Isaac
Washington Square Towers One,18-0359a,"10610 NE 9th Place, Bellevue",17 128107 BZ,Porter Construction Inc.,,Walter
Washington Square Towers Two,18-0359b,"10650 NE 9th Place, Bellevue",17 128109 BZ,Porter Construction Inc.,,Walter
Waverly Garage,18-0078,"2120 Waverly Way E, Seattle",6622096,"Lockhart Suver, LLC",(206) 604-6203,Jeff
Well 25 Generator Improvement Project,18-0024,"South 310th Place and 8th Avenue South, Fede",17-101545-00-CO,Northeast Electric,,Isaac
Wells Fargo - Bellevue,18-0165,"225 108th Avenue NE, Bellevue",,"Abbott Construction, Inc.",(206) 643-0123,Jeff
Wenzel Seismic Retrofit Inspection,18-0352,"31433 36th Avenue SW, Federal Way",18-100821-00-SF,"Seismic Northwest, LP",,Isaac
Werner,17-0528,"3046 17th Ave W, Seattle",6509754,Kamin Excavation,(206) 753-9891,Isaac
West Mall Place Apartments Repair,17-0368,"9300 West Mall Drive, Everett",B1701-040/ 041/ 0,"CDK Construction Services,",(206) 450-7270,Isaac
West Mercer,18-0235,"4525 West Mercer Way, Mercer Island",1709-044,"RKK Construction, Inc.",(206) 730-3184,Jeff
West Seattle Residence - Beach Drive,16-0197,"6001 Beach Drive SW, Seattle",6452765,"Toth Construction, Inc.",(206) 730-5788,Walter
Western Fire & Safety,17-0522,"2654 NW Market Street, Seattle",6418862,Rush Commercial Construct,,Isaac
Westin Seattle Lobby Renovation,18-0070,"1900 Fifth Avenue, Seattle",6596849,Unimark Construction Group,(206) 510-2552,Isaac
Westlake Collection,18-0303,"755 Hayes Street, Seattle",6533008,Arnon Construction Operatio,(206) 353-8263,Isaac
Westridge Townhomes South - All Buildings,17-0859,"519 NE Ellis Drive, Issaquah",BLD17-00159,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 01,17-0859a,"519 NE Ellis Drive, Issaquah",(pending),Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 02,17-0859b,"585 NE Ellis Drive, Issaquah",(pending),Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 03,17-0859c,"570 NE Daisy Walk, Issaquah",(pending),Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 04,17-0859d,"952 6th Walk NE, Issaquah",(pending),Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 05,17-0859e,"924 6th Walk NE, Issaquah",(pending),Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 06,17-0859f,"908 6th Walk NE, Issaquah",BLD17-00159,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 07,17-0859g,"987 6th Avenue NE, Issaquah",(pending),Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 08,17-0859h,"967 6th Avenue NE, Issaquah",(pending),Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 09,17-0859i,"941 6th Avenue NE, Issaquah",(pending),Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 10,17-0859j,"925 6th Avenue NE, Issaquah",(pending),Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 11,17-0859k,"978 6th Avenue NE, Issaquah",BLD17-00419,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 12,17-0859l,"954 6th Avenue NE, Issaquah",BLD17-00420,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 13,17-0859m,"922 6th Avenue NE, Issaquah",BLD17-00389,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 14,17-0859n,"902 6th Avenue NE, Issaquah",BLD17-00390,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 15,17-0859o,"989 7th Avenue NE, Issaquah",BLD17-00421,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 16,17-0859p,"965 7th Avenue NE, Issaquah",BLD17-00422,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 17,17-0859q,"943 7th Avenue NE, Issaquah",BLD17-00391,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 18,17-0859r,"923 7th Avenue NE, Issaquah",BLD17-00392,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 19,17-0859s,"924 7th Avenue NE, Issaquah",BLD17-00201,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 20,17-0859t,"904 7th Avenue NE, Issaquah",BLD17-00192,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 21,17-0859u,"941 8th Avenue NE, Issaquah",BLD17-00191,Polygon Northwest,(425) 766-2053,Walter
Westridge Townhomes South - Bldg. 22,17-0859v,"923 8th Avenue NE, Issaquah",BLD17-00189,Polygon Northwest,(425) 766-2053,Walter
Westview - Bldg. 1,17-0792a,"9319 S 243rd Street, Kent",CNST-2171350,"Schneider Homes, Inc.",(253) 508-1069,Isaac
Westview - Bldg. 2,17-0792b,"24232 93rd Ct S, Kent",CNST-2171353,"Schneider Homes, Inc.",(253) 508-1069,Isaac
Westview - Bldg. 3,17-0792c,"24214 93rd Ct S, Kent",CNST-217352,"Schneider Homes, Inc.",(253) 508-1069,Isaac
Westview - Bldg. 4,17-0792d,"24206 93rd Ct S, Kent",CNST-2171354,"Schneider Homes, Inc.",(253) 508-1069,Isaac
Westview - Bldg. 5,17-0792e,"24201 93rd Ct S, Kent",CNST-2172072,"Schneider Homes, Inc.",(253) 508-1069,Isaac
Whitman 4 Rowhouses,18-0101,"3609 Whitman Avenue North, Seattle",6572661,,(206) 251-9289,Isaac
Willows Preparatory School,18-0325,"12280 Redmond-Woodinville Rd, Redmond",BLDG-2017-0309,"Foushee and Associates, In",(425) 941-7965,Isaac
Wilt Residence,18-0201,"5603 104th Avenue NE, Kirkland",BSF18-00023,"RHH Construction, LLC",(425) 941-7830,Isaac
Wolfram Residence,17-0895,"1800 Broadmoor Drive East, Seattle",6591480,"Toth Construction, Inc.",,Isaac
Woodland Park Homes,18-0378,"1405 N 47th Street, Seattle",6543356,"GNC, LLC",(206) 713-8880,Isaac
Woodland Park Residence,18-0194,"1418 N 54th Street, Seattle",6520134,,(425) 876-6464,Anthony
Worzel Residence,18-0233,"2399 Killarney Way, Bellevue",17-108926-BS,"Eric Kormondy Construction,",(206) 310-1088,Isaac
WSP Fire Training Academy New Kitchen-Di,18-0097,"50810 Grouse Ridge Road, North Bend",COMM17-0032,Star Construction,(253)279-9398,Jeff
WSP FTA New Kitchen-Dining Hall - Star Co,18-0097a,"50810 Grouse Ridge Road, North Bend",COMM17-0032,Star Construction,(253) 279-9398,Jeff
Yale Flats,18-0358,"2227 Yale Ave E, Seattle",6506218,"Cascade Built, LLC",(412) 498-3662,Jeff
Yesler 4 Townhomes,17-0887,"2515 East Yesler Way, Seattle",6577344,"Dacoda Homes, Inc.",(206) 777-5892,Jeff
Yesler Terrace Block 3,17-0634,"120 Broadway, Seattle",6481846,"Exxel Pacific, Inc.",(360) 815-0766,Jeff
Zeasman Residence,17-0779,"3207 Point Place SW, Seattle",6455966,,,Isaac
Zeke's Pizza - Sammamish,18-0407,"22610 SE 4th Street, Suite 404, Sammamish",CON2018-00561,Roberts Group Custom Buil,(206) 290-4251,Isaac
ZEN House,18-0096,"2007 Warren Avenue North, Seattle",6600554,JRJ Development,(206) 387-1845/ (,Isaac
Zhang Residence,18-0265,"911 87th Avenue NE, Medina",B16-071,Madrona Custom Homes,(206) 501-9397,Jeff
Zhang Sun Residence,18-0328,"9780 NE 13th Street, Clyde Hill",BLDG2017-0088,Madrona Custom Homes,(425) 449-3643,Jeff
Zinsmeyer Residence,18-0398,"2171 11th Avenue West, Seattle",6612939,Martine Construction Northw,(425) 409-4616,Isaac
Zumwalt Residence,18-0138,"2004 E Galer Street, Seattle",6588931,JC Mac Construction,(425) 879-5608,Isaac
